price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,sector_median_price,sector_number
0.42,5600.0,750.0,750,3,2,1,0.0,3,0,0,0,0,1,0,7,0.6,105
2.55,15644.0,1630.0,1630,3,3,2,4.0,1,0,0,0,0,1,0,30,2.025,61
2.3,8897.0,2585.0,2585,3,4,3,10.0,1,0,1,0,0,1,0,74,2.175,109
3.2,10159.0,3150.0,3150,4,3,2,1.0,2,0,1,0,0,0,0,0,2.775,65
3.75,25562.0,1467.0,163,6,6,3,3.0,3,0,0,0,0,1,0,49,2.675,49
2.75,10589.0,2597.0,2597,4,4,3,20.0,0,1,1,0,1,0,2,57,2.45,113
2.0,11179.0,1789.0,1789,3,3,3,8.0,1,0,0,0,0,0,0,23,1.45,33
1.85,10176.0,1818.0,1818,3,3,3,15.0,3,0,0,0,0,1,0,38,2.4,82
1.3,9285.0,1400.0,1400,3,3,2,3.0,0,0,0,0,0,0,0,0,1.5,114
1.23,7052.0,1744.0,1744,3,3,2,19.0,2,0,0,0,0,1,0,6,1.25,90
2.65,18492.0,1433.0,1433,2,2,3,4.0,1,1,0,0,0,0,0,38,2.775,65
1.65,18333.0,900.0,900,2,3,0,3.0,5,0,0,0,0,0,0,0,1.225,9
3.8,15510.0,2450.0,2450,3,3,3,1.0,3,0,1,0,1,0,1,68,5.25,43
2.85,14430.0,1975.0,1975,4,4,3,0.0,2,1,1,0,0,0,1,151,2.775,65
7.8,19747.0,3950.0,3950,4,4,0,6.0,5,0,0,0,0,0,0,61,3.35,63
1.5,7825.0,1917.0,1920,3,4,3,10.0,3,0,1,0,0,0,0,93,1.36,2
1.75,6250.0,2800.0,2800,4,4,0,14.0,5,0,0,0,0,0,0,0,1.46,76
2.17,14000.0,1550.0,1549,3,3,3,1.0,0,0,0,0,0,0,0,0,2.025,61
1.35,8181.0,1650.0,1650,3,3,3,9.0,2,0,1,0,0,0,0,100,1.7,102
1.05,8536.0,1230.0,1760,3,4,3,10.0,2,0,1,0,0,0,0,174,1.2,106
4.26,13108.0,3250.0,3250,4,4,0,9.0,5,0,0,0,0,0,0,0,4.26,14
0.41,6194.0,662.0,670,2,2,2,12.0,1,1,0,0,0,0,1,90,0.4,95
3.65,10579.0,3450.0,3450,6,6,2,3.0,3,1,1,1,1,0,2,152,4.2,57
1.2,6382.0,1880.0,1880,3,2,2,8.0,2,0,0,0,0,0,0,151,2.175,109
0.98,6421.0,1526.0,1534,2,2,3,7.0,2,1,0,0,0,0,1,174,0.675,107
7.5,23148.0,3240.0,360,8,8,3,3.0,2,1,1,0,1,0,2,42,1.7,56
1.65,7764.0,2125.0,2125,3,4,3,27.0,1,1,1,0,0,0,0,81,1.655,70
5.5,21219.0,2592.0,288,3,6,2,2.0,3,0,1,0,0,1,1,106,5.15,48
